,X,Y,Z
24.0,5.213963623385453e-06,4.890791200347615e-06,4.093320525160554e-06
24.1,4.455197441537909e-06,4.920441940924583e-06,4.042562279843679e-06
24.200000000000003,4.303939340247326e-06,4.975185715238091e-06,3.5332711279768904e-06
24.3,3.265477808368319e-06,5.565443907844502e-06,3.2605671685566363e-06
24.400000000000002,2.1657208086828534e-06,5.55825006511857e-06,3.2257485488876874e-06
24.5,2.3756685300535667e-06,6.357349185356185e-06,3.712560339953595e-06
24.6,3.3478027917303004e-06,6.594339939957742e-06,3.1448485225078204e-06
24.700000000000003,3.922684333787901e-06,5.845887744177104e-06,3.1444010844612633e-06
24.8,3.948667143816747e-06,5.399215190009221e-06,2.915821859700432e-06
24.900000000000002,4.318598047189465e-06,5.346159888023165e-06,3.930983309455283e-06
25.0,4.418964587667626e-06,5.781439777734952e-06,4.66418370301375e-06
25.1,4.804733012870972e-06,5.983530008141413e-06,4.7730259186982136e-06
25.200000000000003,4.841807236160628e-06,5.993984122190171e-06,4.559662718520855e-06
25.3,5.599858616967581e-06,5.668305054944815e-06,4.279540806081059e-06
25.400000000000002,5.5516534989483874e-06,5.585005771833667e-06,3.2131610085385914e-06
25.5,5.554531748180364e-06,5.241833553379999e-06,2.8519117411805123e-06
25.6,5.138166964522789e-06,4.693311354239231e-06,2.6587698747031725e-06
25.700000000000003,5.300962383984872e-06,4.86435060692759e-06,3.135730988896965e-06
25.8,5.316972553848178e-06,4.332235151478982e-06,2.9292498110750397e-06
25.900000000000002,6.19106703338762e-06,4.098181095175343e-06,3.0325082138429064e-06
26.0,6.080084912622362e-06,4.756168699514768e-06,3.302003227248594e-06
26.1,6.313262569898672e-06,4.678509858047945e-06,2.6374425151809894e-06
26.200000000000003,6.3483495559003555e-06,5.6051915859585165e-06,2.605469242764613e-06
26.3,5.740691784818591e-06,5.990116864159392e-06,2.620983448718033e-06
26.400000000000002,5.235543855485212e-06,6.233248819776419e-06,2.676861328160255e-06
26.5,5.211326334496612e-06,5.825258677728068e-06,2.6053713095849983e-06
26.6,5.179606634588051e-06,5.7546642366987814e-06,2.5459198012220257e-06
26.700000000000003,4.946494930811992e-06,6.375625307264303e-06,2.781113333660435e-06
26.8,4.681926047488599e-06,6.530655908848647e-06,3.0017366368903505e-06
26.900000000000002,4.31896202829316e-06,6.1120651839285505e-06,3.178452947676109e-06
27.0,3.9681716798716035e-06,5.527912985261795e-06,3.7272511797884165e-06
27.1,3.6125940237357823e-06,5.381672976246963e-06,3.884787231287552e-06
27.200000000000003,3.530035631743201e-06,5.192146578221713e-06,3.8050509646395287e-06
27.3,3.878313147830057e-06,5.2076202833753905e-06,3.708985091488102e-06
